Rank,Name,Symbol,Market Cap (JPY),Price (JPY),24h Volume (JPY),Change (24h %)
42,Bitget Token,bgb,687305453901,492.61,18118712605,1.61549
43,Bittensor,tao,661956869140,89811.0,32992416474,1.95554
44,Arbitrum,arb,651524955246,158.99,119964894136,-0.48166
45,Mantle,mnt,643220123482,190.89,18978879233,-1.46583
46,Filecoin,fil,632498384473,1035.41,68980477460,1.86588
47,Kaspa,kas,621131229753,24.5,21187029228,-0.66429
48,Monero,xmr,609892722108,33062.0,20461280683,4.76959
49,MANTRA,om,582033584405,616.09,16430835147,1.79108
50,WhiteBIT Coin,wbt,556200795472,3860.88,3343496284,1.19599
52,Cosmos Hub,atom,551386795171,1411.32,65382649972,1.62913
51,Fantom,ftm,550837283512,196.75,81098269435,6.2635
53,Algorand,algo,548617111994,66.04,63372270818,1.70509
54,Stacks,stx,535879786398,356.13,29652097688,0.93113
55,Dai,dai,527287177907,153.75,16635718294,0.39413
56,OKB,okb,506162974044,8442.94,1286140882,1.19695
57,Optimism,op,505614855088,403.09,90154358097,1.50763
58,Immutable,imx,501576743407,296.03,16630494791,-0.76911
59,Celestia,tia,486859614577,1077.61,43972430014,-2.71131
60,Ethena,ena,455617769532,154.96,69250435817,-2.34976
61,dogwifhat,wif,450185132713,450.72,88203246091,-0.01806
62,Bonk,bonk,445805939503,0.00589748,61507310920,1.38835
63,Injective,inj,429220815529,4393.69,27196046294,-0.85967
64,Ondo,ondo,423506139131,294.64,101977876526,4.05369
65,Theta Network,theta,416580420730,416.58,12775652663,0.52396
66,The Graph,grt,416415998450,43.57,16360228523,1.387
67,Solana Swap,sos,375544945529,664.47,158170398,-1.22663
68,Virtuals Protocol,virtual,378267485404,379.2,61293315249,6.75431
69,Sei,sei,371658589712,93.43,37623081242,2.35879
70,Binance-Peg WETH,weth,365225532070,603788.0,12005435333,1.32349
71,Worldcoin,wld,361141912721,469.7,87110972247,-0.72275
72,FLOKI,floki,357659135277,0.03696116,87653973488,-1.11425
73,THORChain,rune,337110187085,980.64,60460553903,-0.32611
74,JasmyCoin,jasmy,331986905741,6.86,92262053018,0.94518
75,GALA,gala,326768874645,7.8,57439649746,-0.9264
76,Quant,qnt,320147334891,22040.0,12087416981,3.08077
77,Coinbase Wrapped BTC,cbbtc,316714481339,15643539.0,57420848878,2.06213
78,Lido DAO,ldo,316125976349,352.65,47922238523,4.75688
79,First Digital USD,fdusd,313384488279,154.25,967507834298,0.61037
80,Rocket Pool ETH,reth,306318975225,675424.0,1630419250,1.10666
81,Kelp DAO Restaked ETH,rseth,294361970405,621758.0,2250859315,1.20771
82,Beam,beam,288344932340,5.49,22244469986,0.92268
83,The Sandbox,sand,285893442058,117.57,68613949437,0.35307
84,Maker,mkr,280041285732,314337.0,28870765228,-0.50308
85,Mantle Staked Ether,meth,278931924596,633134.0,1985506695,0.96338
86,Brett,brett,272793077018,27.48,12451424897,0.76591
87,Flare,flr,267640526285,4.89,4106842412,5.41376
88,Kaia,kaia,263351240865,45.04,18862170478,8.30723
89,Gate,gt,254397412184,2030.68,1717469407,-3.14194
90,EOS,eos,253636367364,167.21,39616782785,2.03638
91,Pyth Network,pyth,251897933915,69.56,18776145405,1.37376
92,KuCoin,kcs,249861182728,2078.27,32923110,0.18705
93,Raydium,ray,248889630204,857.05,28403884424,7.77023
94,Curve DAO,crv,248381784970,198.16,135656022107,7.10868
95,dYdX,dydx,235618999660,331.9,13465794226,-0.12993
96,Tokenize Xchange,tkx,234103986251,2927.48,1760351634,2.21836
97,Renzo Restaked ETH,ezeth,232767139849,619613.0,310831989,1.04381
98,Flow,flow,232439318122,150.16,16056735576,0.22098
99,Jupiter,jup,232262042710,171.95,28126530362,-0.76261
100,Tezos,xtz,228899430693,224.79,16019918471,1.21346
