,Rank,Name,Symbol,Market Cap (JPY),Price (JPY),24h Volume (JPY),Change (24h %)
80,81,Kelp DAO Restaked ETH,rseth,294361970405,621758.0,2250859315,1.20771
81,82,Beam,beam,288344932340,5.49,22244469986,0.92268
82,83,The Sandbox,sand,285893442058,117.57,68613949437,0.35307
83,84,Maker,mkr,280041285732,314337.0,28870765228,-0.50308
84,85,Mantle Staked Ether,meth,278931924596,633134.0,1985506695,0.96338
85,86,Brett,brett,272793077018,27.48,12451424897,0.76591
86,87,Flare,flr,267640526285,4.89,4106842412,5.41376
87,88,Kaia,kaia,263351240865,45.04,18862170478,8.30723
88,89,Gate,gt,254397412184,2030.68,1717469407,-3.14194
89,90,EOS,eos,253636367364,167.21,39616782785,2.03638
90,91,Pyth Network,pyth,251897933915,69.56,18776145405,1.37376
91,92,KuCoin,kcs,249861182728,2078.27,32923110,0.18705
92,93,Raydium,ray,248889630204,857.05,28403884424,7.77023
93,94,Curve DAO,crv,248381784970,198.16,135656022107,7.10868
94,95,dYdX,dydx,235618999660,331.9,13465794226,-0.12993
95,96,Tokenize Xchange,tkx,234103986251,2927.48,1760351634,2.21836
96,97,Renzo Restaked ETH,ezeth,232767139849,619613.0,310831989,1.04381
97,98,Flow,flow,232439318122,150.16,16056735576,0.22098
98,99,Jupiter,jup,232262042710,171.95,28126530362,-0.76261
99,100,Tezos,xtz,228899430693,224.79,16019918471,1.21346
